timestamp,open,high,low,close,volume
2024-01-02,100.0,101.0,99.0,100.5,1000000
2024-01-03,100.7,102.1,100.2,101.8,1020000
2024-01-04,101.5,103.0,101.2,102.6,980000
2024-01-05,102.4,103.6,101.9,102.1,1050000
2024-01-08,102.0,103.2,101.5,102.8,1100000
2024-01-09,103.1,104.6,102.7,104.0,1070000
2024-01-10,104.2,105.4,103.5,104.8,1120000
2024-01-11,104.7,105.2,103.9,104.1,1090000
2024-01-12,104.0,105.7,103.6,105.3,1150000
2024-01-15,105.5,106.8,104.9,106.2,1170000
2024-01-16,106.3,107.0,105.5,105.9,1130000
2024-01-17,105.8,106.4,104.8,105.1,1110000
2024-01-18,105.0,105.7,103.9,104.3,1160000
2024-01-19,104.1,105.0,103.4,104.7,1190000
2024-01-22,104.8,106.1,104.3,105.8,1210000
2024-01-23,106.0,107.4,105.6,107.0,1180000
2024-01-24,107.2,108.5,106.8,108.1,1230000
2024-01-25,108.0,108.7,107.1,107.5,1200000
2024-01-26,107.3,108.0,106.2,106.6,1220000
2024-01-29,106.5,107.2,105.4,105.8,1250000
2024-01-30,105.7,106.4,104.6,105.0,1270000
2024-01-31,105.2,106.6,104.9,106.1,1240000
2024-02-01,106.3,107.8,105.9,107.2,1300000
2024-02-02,107.4,108.6,106.9,108.0,1310000
2024-02-05,108.2,109.4,107.8,108.9,1290000
2024-02-06,109.0,110.1,108.3,109.7,1330000
2024-02-07,109.8,110.5,108.8,109.1,1280000
2024-02-08,109.0,109.8,107.9,108.4,1260000
2024-02-09,108.2,109.0,107.3,107.8,1240000
2024-02-12,107.7,108.6,106.9,107.2,1230000
2024-02-13,107.0,108.0,106.1,106.5,1210000
2024-02-14,106.7,108.2,106.4,107.7,1260000
2024-02-15,107.9,109.3,107.5,108.8,1300000
2024-02-16,108.9,110.0,108.4,109.6,1320000
2024-02-20,109.8,111.2,109.3,110.7,1350000
2024-02-21,110.8,112.1,110.2,111.5,1370000
2024-02-22,111.4,112.0,110.4,110.9,1340000
2024-02-23,111.0,111.8,109.8,110.2,1360000
2024-02-26,110.0,110.9,109.1,109.6,1380000
2024-02-27,109.5,110.5,108.8,109.9,1400000
